id,active,acquired,cost,type,weight,newtag,tag,tagdam,breed,description,purchased,sireId,damId,dateUpdated
329,No,12/14/09 00:00:00,0,Steer,0,,W104,,Black,,0,,,
330,No,12/14/09 00:00:00,0,Steer,0,,W105,,Black,,0,,,
331,No,12/14/09 00:00:00,0,Steer,0,,W109,W009,Black,,0,,,
332,No,12/14/09 00:00:00,0,Steer,0,,W110,W022,Black,,0,,,
333,No,12/14/09 00:00:00,0,Steer,0,,W112,,Black,,0,,,
334,No,12/14/09 00:00:00,0,Steer,0,,W113,W005,Black,,0,,,
335,No,12/14/09 00:00:00,0,Steer,0,,W114,,Black White Face,,0,,,
336,No,12/14/09 00:00:00,0,Steer,0,,W115,,Black,,0,,,
337,No,12/14/09 00:00:00,0,Steer,0,,W116,W010,Black White Face,,0,,,
338,No,12/14/09 00:00:00,0,Steer,0,,W117,,Black,,0,,,
339,No,12/14/09 00:00:00,0,Steer,0,,W118,W034,Black,,0,,,
340,No,12/14/09 00:00:00,0,Steer,0,,W119,,Black,,0,,,
341,No,12/14/09 00:00:00,0,Steer,0,,W120,W021,Black,,0,,,
342,No,12/14/09 00:00:00,0,Steer,0,,W121,W020,Black,,0,,,
343,No,12/14/09 00:00:00,0,Steer,0,,W123,W014,Black,,0,,,
344,Yes,06/11/13 00:00:00,0,Steer,0,W24,,P56,,,0,,,
345,Yes,01/19/08 00:00:00,0,Bull,1200,,,,GLORY  BULL FROM FC,,0,,,
346,Yes,07/01/07 00:00:00,0,Bull,1200,,U2,,"Burt ",,0,,,
347,Yes,05/25/07 00:00:00,0,Bull,1200,,,,"Felix ",,0,,,
348,Yes,11/05/09 00:00:00,0,Cow,1200,P13,Y116,,British White 2,,0,,,
349,Yes,11/05/09 00:00:00,0,Cow,1200,P5,Y17,,British White 3,,0,,,
350,Yes,11/05/09 00:00:00,0,Cow,1200,P64,Y110,,British White 5,,0,,,
351,Yes,11/05/09 00:00:00,0,Cow,1200,P73,Y112,,British White 1,,0,,,
352,Yes,09/14/09 00:00:00,0,Cow,1200,P1,Y29,,"Red ",,0,,,
353,Yes,03/01/09 00:00:00,0,Cow,1200,P28,Y11,,Connie's Darla,,0,,,
354,Yes,12/21/08 00:00:00,0,Cow,1200,P3,Y24,,Tina's Tammy,,0,,,
355,Yes,06/13/08 00:00:00,0,Cow,1200,P29,Y04,Y25,Princess Louise's Snow,,0,,,
356,Yes,10/24/07 00:00:00,0,Cow,1200,P4,Y30,Y27,Natasha's Mocha,,0,,,
357,Yes,01/10/07 00:00:00,0,Cow,1200,P54,Y06,Y25,Princess Louise's Little Princess,,0,,,
358,Yes,10/24/06 00:00:00,0,Cow,1200,P89,Y18,,Pearl's Diamond,,0,,,
359,Yes,08/25/10 00:00:00,0,Cow,1200,,Y46,Y27,"MG/Highland ",,0,,,
360,Yes,09/03/09 00:00:00,0,Cow,1200,p41,Y16,,Natasha's Heifer,,0,,,
361,Yes,08/16/09 00:00:00,0,Cow,1200,P19,Y14,,Freedom's Heifer,,0,,,
362,Yes,08/11/09 00:00:00,0,Cow,1200,P49,Y21,,Lulu's Heifer,,0,,,
363,Yes,07/20/09 00:00:00,0,Cow,1200,P46,Y03,,Little Princess's,,0,,,
364,Yes,00/00/00 00:00:00,0,Cow,0,P50,Y69,,DUN,,0,,,
365,Yes,00/00/00 00:00:00,0,Cow,0,P51,Y62,,WHITE HEIFER,,0,,,
366,No,11/21/09 00:00:00,0,Cow,0,,G452,,"Red Angus ",,0,,,
367,No,11/05/09 00:00:00,0,Cow,0,,Y115,,British White 6,,0,,,
368,No,08/11/07 00:00:00,0,Cow,0,,Y34,,Hannah's Haley,,0,,,
369,No,03/22/07 00:00:00,0,Cow,0,P61,Y27,,Natasha,,0,,,
370,No,03/22/07 00:00:00,0,Cow,0,,W50,,Night Jasmine,,0,,,
371,No,02/06/06 00:00:00,0,Cow,0,,Y09,,Sugar's Sugar Baby,,0,,,
372,No,11/05/09 00:00:00,0,Cow,0,,Y114,,British White 4,,0,,,
373,Yes,06/02/11 00:00:00,0,Heifer,0,P57,Y55,?,BRITISH WHITE,,0,,,
374,No,08/20/10 00:00:00,0,Heifer,0,,Y44,Y22,Guernsey  PATTY,,0,,,
375,No,08/01/10 00:00:00,0,Heifer,0,,Y45,,"Ramah's Reba ",,0,,,
376,No,03/03/10 00:00:00,0,Heifer,0,,Y74,Y23,"Guernsey/Milking Shorthorn Cross ",,0,,,
377,Yes,06/06/11 00:00:00,0,Steer,0,,Y56,Y29,,,0,,,
378,Yes,10/18/10 00:00:00,0,Steer,1200,,Y52,Y9,,,0,,,
379,Yes,09/07/10 00:00:00,0,Steer,1200,,Y49/P9,Y114,,,0,,,
380,Yes,09/06/10 00:00:00,0,Steer,1200,,Y43,Y110,,,0,,,
381,Yes,05/07/10 00:00:00,0,Steer,1200,,Y37,Y29,Red/white face,,0,,,
382,No,04/18/09 00:00:00,0,Bull,0,,,,Leonardo,,0,,,
383,No,07/01/08 00:00:00,0,Bull,0,,W2,,"Bull ",,0,,,
384,No,07/01/08 00:00:00,0,Bull,0,,W5,,"Bull ",,0,,,
385,No,09/14/09 00:00:00,0,Cow,0,,Y08,,White Char,,0,,,
386,No,09/14/09 00:00:00,0,Cow,0,,Y28,,"Silver Char ",,0,,,
387,No,07/24/09 00:00:00,0,Cow,0,,,,Ramah,,0,,,
388,No,12/07/08 00:00:00,0,Cow,0,,Y35,,Connie,,0,,,
389,No,07/24/08 00:00:00,0,Cow,0,,Y23,,Tina,,0,,,
390,No,08/25/07 00:00:00,0,Cow,0,,Y05,,Sugar's Sugar and Spice,,0,,,
391,No,03/22/07 00:00:00,0,Cow,0,,G30,,Tasha,,0,,,
392,No,03/22/07 00:00:00,0,Cow,0,,Y19,,Lulu,,0,,,
393,No,09/05/06 00:00:00,0,Cow,0,,Y22,,Pearl,,0,,,
394,No,07/04/05 00:00:00,0,Cow,0,,Y13,,Princess Louise's Freedom,,0,,,
395,No,03/12/05 00:00:00,0,Cow,0,,Y25,,Princess Louise,,0,,,
396,No,03/12/05 00:00:00,0,Cow,0,,,,Sugar Lowe,,0,,,
397,No,03/12/05 00:00:00,0,Cow,0,,,,Hannah,,0,,,
398,No,05/29/11 00:00:00,0,Heifer,0,,Y54,Y11,,,0,,,
399,No,03/01/10 00:00:00,0,Heifer,0,,W147,G452,Red,,0,,,
400,No,07/01/11 00:00:00,0,Steer,0,,W5,Y35,Connie's steer,,0,,,
401,No,10/15/10 00:00:00,0,Steer,0,,Y51,Y19,,,0,,,
402,No,10/06/10 00:00:00,0,Steer,0,,Y47,Y23,,,0,,,
403,No,09/25/10 00:00:00,0,Steer,0,,Y48,Y30,,,0,,,
404,No,08/25/10 00:00:00,0,Steer,0,,Y50,Y13,"MG/Highland ",,0,,,
405,No,08/13/10 00:00:00,0,Steer,0,,Y42,,MG/White Park Bull,,0,,,
406,No,07/22/10 00:00:00,0,Steer,0,,Y41,Y25,"MG (MG/Highland) ",,0,,,
407,No,05/27/10 00:00:00,0,Steer,0,,Y39,Y4,"MG (MG/Highland) ",,0,,,
408,No,05/06/10 00:00:00,0,Steer,0,,Y38/P16,Y18,"MG (Hereferd/Guernsey) ",,0,,,
409,No,02/14/10 00:00:00,0,Steer,0,,Y36,Y8,Char,,0,,,
410,No,10/31/09 00:00:00,0,Steer,0,,Y31,Y28,Silver Char's Bull,,0,,,
411,No,10/19/09 00:00:00,0,Steer,0,,Y33,,Night Jasmine's Bull,,0,,,
412,No,08/31/09 00:00:00,0,Steer,0,,Y35,,Ramah's Bull,,0,,,
413,No,07/13/09 00:00:00,0,Steer,0,,Y32,Y9,Sugar Baby's Bull,,0,,,
414,No,05/26/09 00:00:00,0,Steer,0,,Y15,,Tasha's Bull,,0,,,
415,No,05/17/09 00:00:00,0,Steer,0,,Y26,,Princess Louise's Bull,,0,,,
416,No,05/06/09 00:00:00,0,Steer,0,,Y01,,Diamond's Bull,,0,,,
417,No,09/03/08 00:00:00,0,Steer,0,,Y07,,Natasha's Bull,,0,,,
418,No,07/12/08 00:00:00,0,Steer,0,,Y02,,Lulu's Bull,,0,,,
419,No,04/24/08 00:00:00,0,Steer,0,,Y10,Y22,Pearl's Spot,,0,,,
420,No,03/09/08 00:00:00,0,Steer,0,,,,Diamond's Bull,,0,,,
421,No,07/15/07 00:00:00,0,Steer,0,,,,Lulu's Bull,,0,,,
422,No,05/24/11 00:00:00,0,Cow,0,,Y53,Y04,,,0,,,
