id,active,acquired,cost,type,weight,newtag,tag,tagdam,breed,description,purchased,sireId,damId,dateUpdated
68,Yes,12/14/09 00:00:00,0,Cow,1200,P9,W020,,Black,,0,,,
69,Yes,12/14/09 00:00:00,0,Cow,1200,P2,W122,W015,Black,,0,,,
70,Yes,12/14/09 00:00:00,0,Cow,1200,P60,W106,W019,Black,,0,,,
71,Yes,12/14/09 00:00:00,0,Cow,1200,P69,W108,,Black,,0,,,
72,No,12/14/09 00:00:00,0,Cow,0,P37,W107,,Black,,0,,,
73,No,12/14/09 00:00:00,0,Cow,0,,W102,,Black,,0,,,
74,No,12/14/09 00:00:00,0,Cow,0,,W043,,Red,,0,,,
75,No,12/14/09 00:00:00,0,Cow,0,,W047,,Black,,0,,,
76,Yes,11/21/09 00:00:00,0,Cow,1200,P14,G427,,Red Angus,,0,,,
77,Yes,11/21/09 00:00:00,0,Cow,1200,P33,G446,,Red Angus,,0,,,
78,Yes,11/21/09 00:00:00,0,Cow,1200,P36,G417,,Red Angus,,0,,,
79,Yes,11/21/09 00:00:00,0,Cow,1200,P48,G431,,Red Angus,,0,,,
80,Yes,11/21/09 00:00:00,0,Cow,1200,P52,G411,,Red Angus,,0,,,
81,Yes,11/21/09 00:00:00,0,Cow,1200,P63,G425,,Red Angus,,0,,,
82,Yes,11/21/09 00:00:00,0,Cow,1200,P70,G429,,Red Angus,,0,,,
83,Yes,11/21/09 00:00:00,0,Cow,1200,P81,G437,,Red Angus,,0,,,
84,Yes,07/02/09 00:00:00,0,Cow,1200,B2,43W,,Murray Grey-COURTNEY,,0,,,
85,Yes,06/29/09 00:00:00,0,Cow,1200,B13,45W Yellow,,Murray Grey-MARIE,,0,,,
86,Yes,04/01/09 00:00:00,0,Cow,1200,B15,2W (Blank),,Murray Grey-CARMEN,,0,,,
87,Yes,06/06/11 00:00:00,0,Steer,0,,P21,,,,0,,,
88,Yes,06/06/11 00:00:00,0,Steer,0,,P22,W31,Dun,,0,,,
89,No,06/06/11 00:00:00,0,Steer,0,,B23,W15,Charcoal with white spot on head,,0,,,
90,Yes,10/15/10 00:00:00,0,Steer,1200,P47,W069,W021,DUN,,0,,,
91,Yes,06/28/10 00:00:00,0,Steer,1200,P27,W051,W018,Black,,0,,,
92,No,03/01/10 00:00:00,0,Cow,0,P55,W130,,BLACK GENTLE,,0,,,
93,Yes,08/17/13 00:00:00,0,Bull,0,B28B,,B7,MG,,0,,,
94,Yes,08/13/13 00:00:00,0,Bull,0,W66B,,P89,DIAMONDS BABY BULL?,,0,,,
95,Yes,08/09/13 00:00:00,0,Bull,0,B27B,,B13,,,0,,,
96,Yes,07/03/13 00:00:00,0,Bull,0,B26B,,B15,,,0,,,
97,Yes,06/23/13 00:00:00,0,Bull,0,B24B,,B14,MG,,0,,,
98,Yes,06/06/13 00:00:00,0,Bull,0,B23B,,B12,MG,,0,,,
99,Yes,06/01/13 00:00:00,0,Bull,0,B21B,,B9,MG,,0,,,
100,Yes,00/00/00 00:00:00,0,Bull,0,,B8,,MG YEARLING,,0,,,
101,Yes,00/00/00 00:00:00,0,Bull,0,,B11,,MG YEARLING,,0,,,
102,Yes,06/07/12 00:00:00,0,Bull,0,,O21,Y43,MG,,0,,,
103,No,05/13/10 00:00:00,0,Cow,0,,Y198,,Red Angus from Moll,,0,,,
104,No,04/17/10 00:00:00,0,Cow,0,,W126,,"Red ",,0,,,
105,No,12/30/09 00:00:00,0,Cow,0,,R04,,Charolais,,0,,,
106,No,12/30/09 00:00:00,0,Cow,0,,R05,,Charolais,,0,,,
107,No,12/30/09 00:00:00,0,Cow,0,,R15,,Red Angus Cross,,0,,,
108,No,12/14/09 00:00:00,0,Cow,0,,W014,,Black,,0,,,
109,No,12/14/09 00:00:00,0,Cow,0,,W029,,Red,,0,,,
110,No,12/14/09 00:00:00,0,Cow,0,,W032,,Red,,0,,,
111,No,12/14/09 00:00:00,0,Cow,0,,W039,,Red with white,,0,,,
112,No,12/14/09 00:00:00,0,Cow,0,,W042,,Hereford,,0,,,
113,No,11/21/09 00:00:00,0,Cow,0,,G408,,Red Angus,,0,,,
114,Yes,09/07/13 00:00:00,0,Heifer,0,W72H,,P51,,,0,,,
115,No,08/21/13 00:00:00,0,Heifer,0,W70H,,P38,,,0,,,
116,Yes,08/20/13 00:00:00,0,Heifer,0,W68H,,,DAM-BLACK COW W/NO TAG,,0,,,
117,Yes,08/15/13 00:00:00,0,Heifer,0,W67H,,P61,,,0,,,
118,Yes,08/10/13 00:00:00,0,Heifer,0,B29H,,B2,MG,,0,,,
119,Yes,08/07/13 00:00:00,0,Heifer,0,W61H,,P86,,,0,,,
120,Yes,08/07/13 00:00:00,0,Heifer,0,W62H,,P14,,,0,,,
121,Yes,08/03/13 00:00:00,0,Heifer,0,W60H,,P49,,,0,,,
122,Yes,08/01/13 00:00:00,0,Heifer,0,W59H,,P41,,,0,,,
123,Yes,07/21/13 00:00:00,0,Heifer,0,W52H,,P5,,,0,,,
124,Yes,07/21/13 00:00:00,0,Heifer,0,W53H,,P54,,,0,,,
125,Yes,07/15/13 00:00:00,0,Heifer,0,W50H,,P34,,,0,,,
126,Yes,07/15/13 00:00:00,0,Heifer,0,W51H,,P17,,,0,,,
127,Yes,07/09/13 00:00:00,0,Heifer,0,W47H,,P48,,,0,,,
128,Yes,07/09/13 00:00:00,0,Heifer,0,W48H,,P68,,,0,,,
129,Yes,07/06/13 00:00:00,0,Heifer,0,W45H,,P29,,,0,,,
130,Yes,07/06/13 00:00:00,0,Heifer,0,W46H,,P47,,,0,,,
131,Yes,07/01/13 00:00:00,0,Heifer,0,VIM,,P22,,,0,,,
132,Yes,06/30/13 00:00:00,0,Heifer,0,W41H,,P8,,,0,,,
133,Yes,06/30/13 00:00:00,0,Heifer,0,W42H,,P7,,,0,,,
134,Yes,06/28/13 00:00:00,0,Heifer,0,W40H,,P24,,,0,,,
135,Yes,06/27/13 00:00:00,0,Heifer,0,B25H,,B6,MG,,0,,,
136,No,06/24/13 00:00:00,0,Heifer,0,W37H,,P30,,,0,,,
137,Yes,06/20/13 00:00:00,0,Heifer,0,W32H,,P9,,,0,,,
138,Yes,06/19/13 00:00:00,0,Heifer,0,W31H,,P80,,,0,,,
139,Yes,06/18/13 00:00:00,0,Heifer,0,W30H,,P85,,,0,,,
140,Yes,06/15/13 00:00:00,0,Heifer,0,W29H,,P28,,,0,,,
141,Yes,06/13/13 00:00:00,0,Heifer,0,W27H,,P73,,,0,,,
142,Yes,06/08/13 00:00:00,0,Heifer,0,W21H,,P31,,,0,,,
143,Yes,06/07/13 00:00:00,0,Heifer,0,W18H,,P15,,,0,,,
144,Yes,06/06/13 00:00:00,0,Heifer,0,W17H,,P37,,,0,,,
145,No,06/06/13 00:00:00,0,Heifer,0,W14H,,P39,,,0,,,
146,Yes,06/03/13 00:00:00,0,Heifer,0,W10H,,P59,,,0,,,
147,Yes,06/01/13 00:00:00,0,Heifer,0,W6H,,P75,,,0,,,
148,Yes,06/01/13 00:00:00,0,Heifer,0,W7H,,P1,,,0,,,
149,Yes,06/01/13 00:00:00,0,Heifer,0,B19H,,B3,MG,,0,,,
150,Yes,06/01/13 00:00:00,0,Heifer,0,W8H,,P23,,,0,,,
151,Yes,06/01/13 00:00:00,0,Heifer,0,W9H,,P45,,,0,,,
152,Yes,05/28/13 00:00:00,0,Heifer,0,W2H,,P70,,,0,,,
153,Yes,05/26/13 00:00:00,0,Heifer,0,B18H,,B10,MG,,0,,,
154,Yes,05/25/13 00:00:00,0,Heifer,0,B17H,,B5,MG,,0,,,
155,Yes,00/00/00 00:00:00,0,Heifer,0,,O50,,,,0,,,
156,Yes,00/00/00 00:00:00,0,Heifer,0,,O56,,,,0,,,
157,Yes,00/00/00 00:00:00,0,Heifer,0,,O62,,,,0,,,
158,No,00/00/00 00:00:00,0,Heifer,0,,O51,,,,0,,,
159,No,00/00/00 00:00:00,0,Heifer,0,,O52,,,,0,,,
160,Yes,07/19/12 00:00:00,0,Heifer,0,,O45,W34,,,0,,,
161,No,07/19/12 00:00:00,0,Heifer,0,,O46,W22,,,0,,,
162,No,07/17/12 00:00:00,0,Heifer,0,,O44,Y6,,,0,,,
163,Yes,07/15/12 00:00:00,0,Heifer,0,,O43,Y18,,,0,,,
164,Yes,07/10/12 00:00:00,0,Heifer,0,,O41,W127,,,0,,,
165,Yes,07/10/12 00:00:00,0,Heifer,0,,O42,G417,,,0,,,
166,Yes,07/07/12 00:00:00,0,Heifer,0,,O40,Y207,,,0,,,
167,No,07/05/12 00:00:00,0,Heifer,0,,O38,Y21,,,0,,,
168,Yes,07/02/12 00:00:00,0,Heifer,0,,O37,G429,,,0,,,
169,No,07/02/12 00:00:00,0,Heifer,0,,O34,Y4,,,0,,,
170,No,07/02/12 00:00:00,0,Heifer,0,,O36,Y16,,,0,,,
171,No,06/27/12 00:00:00,0,Heifer,0,,O31,G411,,,0,,,
172,Yes,06/18/12 00:00:00,0,Heifer,0,,O28,W131,,,0,,,
173,No,06/14/12 00:00:00,0,Heifer,0,,O25,G437,,,0,,,
174,No,06/13/12 00:00:00,0,Heifer,0,,O24,G446,,,0,,,
175,No,06/12/12 00:00:00,0,Heifer,0,,O23,Y14,,,0,,,
176,Yes,06/08/12 00:00:00,0,Heifer,0,,O22,Y110,,,0,,,
177,Yes,05/28/12 00:00:00,0,Heifer,0,,O16,W23,,,0,,,
178,No,05/27/12 00:00:00,0,Heifer,0,,O15,W38,,,0,,,
179,Yes,05/24/12 00:00:00,0,Heifer,0,,O12,W11,,,0,,,
180,Yes,05/21/12 00:00:00,0,Heifer,0,,O09,W136,,,0,,,
181,No,05/19/12 00:00:00,0,Heifer,0,,O07,R24,,,0,,,
182,No,05/19/12 00:00:00,0,Heifer,0,,O06,W3,,,0,,,
183,Yes,05/17/12 00:00:00,0,Heifer,0,,O05,R11,,,0,,,
184,Yes,05/15/12 00:00:00,0,Heifer,0,,O03,W122,,,0,,,
185,No,05/15/12 00:00:00,0,Heifer,0,,O04,W108,,,0,,,
186,Yes,05/12/12 00:00:00,0,Heifer,0,,O02,W130,,,0,,,
187,No,05/08/12 00:00:00,0,Heifer,0,,O01,W107,,,0,,,
188,Yes,04/17/12 00:00:00,0,Heifer,0,,W02,W148,,,0,,,
189,No,06/14/11 00:00:00,0,Heifer,0,,W170,?,,,0,,,
190,No,06/06/11 00:00:00,0,Heifer,0,,B13,,,,0,,,
191,No,06/06/11 00:00:00,0,Heifer,0,,B12,,,,0,,,
192,No,06/06/11 00:00:00,0,Heifer,0,,B14,,,,0,,,
193,No,06/06/11 00:00:00,0,Heifer,0,,W167,W102,,,0,,,
194,No,06/06/11 00:00:00,0,Heifer,0,,Y61,G425,Dun,,0,,,
195,No,06/06/11 00:00:00,0,Heifer,0,,Y63,,Dun,,0,,,
196,No,06/06/11 00:00:00,0,Heifer,0,,Y65,,Tan with white racing stripe,,0,,,
197,No,06/06/11 00:00:00,0,Heifer,0,,Y67,,Dun,,0,,,
198,No,06/06/11 00:00:00,0,Heifer,0,,Y70,Y24,,,0,,,
199,No,06/06/11 00:00:00,0,Heifer,0,,Y71,,White,,0,,,
200,No,06/06/11 00:00:00,0,Heifer,0,,Y73,,,,0,,,
201,No,05/29/11 00:00:00,0,Heifer,0,,W165,R02,,,0,,,
202,No,05/27/11 00:00:00,0,Heifer,0,,W164,,,,0,,,
203,No,05/08/11 00:00:00,0,Heifer,0,,W153,W032,,,0,,,
204,No,05/05/11 00:00:00,0,Heifer,0,,W151,W001,,,0,,,
205,No,05/03/11 00:00:00,0,Heifer,0,,W154,W012,Red,,0,,,
206,No,04/27/11 00:00:00,0,Heifer,0,,W072,Y198,Red,,0,,,
207,No,10/16/10 00:00:00,0,Heifer,0,,W071,W007,,,0,,,
208,No,08/17/10 00:00:00,0,Heifer,0,,W065,W015,Black,,0,,,
209,No,07/24/10 00:00:00,0,Heifer,0,,W159,W023,Red,,0,,,
210,No,07/08/10 00:00:00,0,Heifer,0,,W054,W005,Black,,0,,,
211,No,03/14/10 00:00:00,0,Heifer,0,,11X,,Murray Grey,,0,,,
212,No,03/01/10 00:00:00,0,Heifer,0,,W136,,Red,,0,,,
213,No,03/01/10 00:00:00,0,Heifer,0,,W133,W001,Black,,0,,,
214,No,03/01/10 00:00:00,0,Heifer,0,,W137,R14,Champaigne,,0,,,
215,No,03/01/10 00:00:00,0,Heifer,0,,W142,W008,Black,,0,,,
216,No,12/14/09 00:00:00,0,Heifer,0,,W111,W033,Brown,,0,,,
217,No,04/30/09 00:00:00,0,Heifer,0,,29W/Y62,,Murray Grey-FELINA,,0,,,
218,Yes,08/30/13 00:00:00,0,Steer,0,W71S,,P19,,,0,,,
219,Yes,08/20/13 00:00:00,0,Steer,0,W69S,,P63,,,0,,,
220,No,08/12/13 00:00:00,0,Steer,0,W65S,,P61,,,0,,,
221,No,08/09/13 00:00:00,0,Steer,0,W63S,,,TWIN,,0,,,
222,No,08/09/13 00:00:00,0,Steer,0,W64S,,,TWIN,,0,,,
223,Yes,07/27/13 00:00:00,0,Steer,0,W58S,,P64,CODE NAME FIESTY,,0,,,
224,No,07/27/13 00:00:00,0,Steer,0,W56S,,P25,,,0,,,
225,Yes,07/25/13 00:00:00,0,Steer,0,W55S,,P87,,,0,,,
226,Yes,07/21/13 00:00:00,0,Steer,0,W54S,,P2,,,0,,,
227,Yes,07/14/13 00:00:00,0,Steer,0,W49S,,P26,,,0,,,
228,Yes,07/05/13 00:00:00,0,Steer,0,W43S,,P13,,,0,,,
229,Yes,07/05/13 00:00:00,0,Steer,0,W44S,,P77,WHITE-FACED CALF,,0,,,
230,Yes,06/28/13 00:00:00,0,Steer,0,W39S,,P16,,,0,,,
231,Yes,06/25/13 00:00:00,0,Steer,0,W38S,,P36,,,0,,,
232,Yes,06/24/13 00:00:00,0,Steer,0,W34S,,P21,,,0,,,
233,Yes,06/24/13 00:00:00,0,Steer,0,W35S,,P10,,,0,,,
234,Yes,06/24/13 00:00:00,0,Steer,0,W36S,,P20,,,0,,,
235,Yes,06/22/13 00:00:00,0,Steer,0,W33S,,P88,,,0,,,
236,Yes,06/13/13 00:00:00,0,Steer,0,W28S,,P81,,,0,,,
